Floor,Room Number,Room Type,Cartesian Coordinates (list of),accessible_door,inside_accessbility,room_name,building_name,tags,min_stairs_needed
1000,1025,Lab,"{0,0}",,,,CBIS,,
1000,1025A,Lab,"{0,0}",,,,CBIS,,
1000,1025B,Lab,"{0,0}",,,,CBIS,,
1000,1025C,Lab,"{0,0}",,,,CBIS,,
1000,1025D,Lab,"{0,0}",,,,CBIS,,
1000,1025E,Lab,"{0,0}",,,,CBIS,,
1000,1025F,Lab,"{0,0}",,,,CBIS,,
1000,1025G,Lab,"{0,0}",,,,CBIS,,
1000,1100,Hallway,"{0,0}",,,,CBIS,,
1000,1100A,Hallway,"{0,0}",,,,CBIS,,
1000,1100B,Hallway,"{0,0}",,,,CBIS,,
1000,1105.2,,"{0,0}",,,,CBIS,,
1000,1125,,"{0,0}",,,,CBIS,,
1000,1129,Office,"{0,0}",,,,CBIS,,
1000,1131,Office,"{0,0}",,,,CBIS,,
1000,1133,Office,"{0,0}",,,,CBIS,,
1000,1135,Office,"{0,0}",,,,CBIS,,
1000,1137,Office,"{0,0}",,,,CBIS,,
1000,1139,Office,"{0,0}",,,,CBIS,,
1000,1141,Office,"{0,0}",,,,CBIS,,
1000,1143,Office,"{0,0}",,,,CBIS,,
1000,1145,Office,"{0,0}",,,,CBIS,,
1000,1147,Office,"{0,0}",,,,CBIS,,
1000,1149,Office,"{0,0}",,,,CBIS,,
1000,1151,Office,"{0,0}",,,,CBIS,,
1000,1200,Hallway,"{0,0}",,,,CBIS,,
1000,1200A,Hallway,"{0,0}",,,,CBIS,,
1000,1219,Lab,"{0,0}",,,,CBIS,,
1000,1219A,Lab,"{0,0}",,,,CBIS,,
1000,1220,Lab,"{0,0}",,,,CBIS,,
1000,1222,Lab,"{0,0}",,,,CBIS,,
1000,1223,Lab,"{0,0}",,,,CBIS,,
1000,1224,Lab,"{0,0}",,,,CBIS,,
1000,1225,Lab,"{0,0}",,,,CBIS,,
1000,1227,Lab,"{0,0}",,,,CBIS,,
1000,1231,Lab,"{0,0}",,,,CBIS,,
1000,1233,Lab,"{0,0}",,,,CBIS,,
1000,1233,Lab,"{0,0}",,,,CBIS,,
1000,1236,Lab,"{0,0}",,,,CBIS,,
1000,1237,Lab,"{0,0}",,,,CBIS,,
1000,1240,Lab,"{0,0}",,,,CBIS,,
1000,1241,Lab,"{0,0}",,,,CBIS,,
1000,1244,Lab,"{0,0}",,,,CBIS,,
1000,1245,Lab,"{0,0}",,,,CBIS,,
1000,1248,Lab,"{0,0}",,,,CBIS,,
1000,1300,Hallway,"{0,0}",,,,CBIS,,
1000,1306,Bathroom(W),"{0,0}",,,,CBIS,,
1000,1308,Bathroom(M),"{0,0}",,,,CBIS,,
1000,1316,Lab,"{0,0}",,,,CBIS,,
1000,1316A,Lab,"{0,0}",,,,CBIS,,
1000,1316B,Lab,"{0,0}",,,,CBIS,,
1000,1317,Lab,"{0,0}",,,,CBIS,,
1000,1317A,Lab,"{0,0}",,,,CBIS,,
1000,1317B,Lab,"{0,0}",,,,CBIS,,
1000,1323,Lab,"{0,0}",,,,CBIS,,
1000,1323A,Lab,"{0,0}",,,,CBIS,,
1000,1323B,Lab,"{0,0}",,,,CBIS,,
1000,1323C,Lab,"{0,0}",,,,CBIS,,
1000,1323D,Lab,"{0,0}",,,,CBIS,,
1000,1327,Lab,"{0,0}",,,,CBIS,,
1000,1327A,Lab,"{0,0}",,,,CBIS,,
1000,1327B,Lab,"{0,0}",,,,CBIS,,
1000,1327C,Lab,"{0,0}",,,,CBIS,,
1000,1337,Lab,"{0,0}",,,,CBIS,,
1000,1342,Lab,"{0,0}",,,,CBIS,,
1000,1343,Lab,"{0,0}",,,,CBIS,,
1000,1343A,Lab,"{0,0}",,,,CBIS,,
1000,1346,Lab,"{0,0}",,,,CBIS,,
1000,1349,Lab,"{0,0}",,,,CBIS,,
1000,1353,Office,"{0,0}",,,,CBIS,,
1000,1355,Office,"{0,0}",,,,CBIS,,
1000,1356,Lab,"{0,0}",,,,CBIS,,
1000,1359,Bathroom(N),"{0,0}",,,,CBIS,,
1000,1362,Bathroom(W),"{0,0}",,,,CBIS,,
1000,1363,Bathroom(M),"{0,0}",,,,CBIS,,
1000,1400,Hallway,"{0,0}",,,,CBIS,,
1000,1400A,Hallway,"{0,0}",,,,CBIS,,
1000,1400B,Hallway,"{0,0}",,,,CBIS,,
1000,1400C,Hallway,"{0,0}",,,,CBIS,,
1000,1400D,Hallway,"{0,0}",,,,CBIS,,
1000,1400E,Hallway,"{0,0}",,,,CBIS,,
1000,1424,Lab,"{0,0}",,,,CBIS,,
1000,1424A,Lab,"{0,0}",,,,CBIS,,
1000,1443,,"{0,0}",,,,CBIS,,
1000,1443A,,"{0,0}",,,,CBIS,,
1000,1445,,"{0,0}",,,,CBIS,,
1000,1445A,,"{0,0}",,,,CBIS,,
1000,1447,,"{0,0}",,,,CBIS,,
1000,1447A,,"{0,0}",,,,CBIS,,
1000,1449,,"{0,0}",,,,CBIS,,
1000,1449A,,"{0,0}",,,,CBIS,,
1000,1452,,"{0,0}",,,,CBIS,,
1000,1460,Lab,"{0,0}",,,,CBIS,,
1000,1462,,"{0,0}",,,,CBIS,,